Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario,Prezzo di acquisto," IVA",Prezzo listino,IVA %,Margine,Costo,Prezzo di vendita,Data,Variazione prezzo
100g,"September 21, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Bianco,52,100G,Donna,Corsico Milano,No,,45,28.35,16.65,1.575,,18,10.35,45,,,,,,
Trench,"September 21, 2024",Trench  (https://www.notion.so/Trench-4187412f2502401ea8e8f9463c24fafe?pvs=21),Camel,S,Trench,Donna,Corsico Milano,No,,65,36.95,28.05,1.679545454545,,22,14.95,65,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,52,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,50,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,54,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 21, 2024",Uomo Light Bomber CS (https://www.notion.so/Uomo-Light-Bomber-CS-aa7a47a0528440abbe91b5618fc74f04?pvs=21),Verde,L,Spolverini,Uomo,Corsico Milano,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Celeste,2XL,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Bianco,L,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Bianco,2XL,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
Spolverini,"September 21, 2024",Uomo Light Basic (https://www.notion.so/Uomo-Light-Basic-34d8f0001aff4b6486c56342bc075737?pvs=21),Topo,M,Spolverini,Uomo,Corsico Milano,No,,25,14.75,10.25,1.638888888889,,9,5.75,25,,,,,,
