Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario
Piumino,"September 21, 2024",Piuma Over (https://www.notion.so/Piuma-Over-4e7852d3b8bf48b0b8e90ed85cc8e2bb?pvs=21),Marrone,L,Piumino,Donna,Corsico Milano,No,,65,39.95,25.05,1.598,
Pelliccia,"September 21, 2024",Pelliccia (https://www.notion.so/Pelliccia-116f56f3c32b8013aadac721b2beb71c?pvs=21),Nero,42,Pelliccia,Donna,Corsico Milano,No,-125,225,56.75,168.25,11.35,
Impermeabile,"September 21, 2024",Neoprene Uomo (https://www.notion.so/Neoprene-Uomo-115f56f3c32b80919a35f862a4b4cf83?pvs=21),Nero,L,Impermeabili,Uomo,Corsico Milano,No,,65,42.95,22.05,1.533928571429,
Gilet,"September 21, 2024",Gilet Uomo (https://www.notion.so/Gilet-Uomo-12926fe15a294a75a5f174f080d566a4?pvs=21),Nero,L,Gilet,Uomo,Corsico Milano,No,,25,16.25,8.75,1.547619047619,
Pelle Barone,"September 21, 2024",Pelle Sofia (https://www.notion.so/Pelle-Sofia-115f56f3c32b80fe8941d9fc130cce03?pvs=21),Marrone,2XL,Pelle,Donna,Corsico Milano,No,19,230,162.9,67.1,1.480909090909,
Pelle Barone,"September 21, 2024",Pelle Chiodo Donna (https://www.notion.so/Pelle-Chiodo-Donna-115f56f3c32b80a49a9dc3a864003fe1?pvs=21),Nero,M,Pelle,Donna,Corsico Milano,No,14,245,161.35,83.65,1.536666666667,
Pelle Barone,"September 21, 2024",Pelle Sally (https://www.notion.so/Pelle-Sally-115f56f3c32b80a99b74cc787cf61d9e?pvs=21),Nero,S,Pelle,Donna,Corsico Milano,No,49,200,158,42,1.410714285714,
Pelle Barone,"September 21, 2024",Pelle Sofia (https://www.notion.so/Pelle-Sofia-115f56f3c32b80fe8941d9fc130cce03?pvs=21),Grigio,M,Pelle,Donna,Corsico Milano,No,29,220,160.6,59.4,1.46,
Pelle Barone,"September 21, 2024",Pelle Sofia Crust (https://www.notion.so/Pelle-Sofia-Crust-116f56f3c32b80fcb19ef42251c0e8b2?pvs=21),Cuoio,XL,Pelle,Donna,Corsico Milano,No,19,280,189.4,90.6,1.5152,
Pelle Barone,"September 21, 2024",Pelle Michele (https://www.notion.so/Pelle-Michele-115f56f3c32b809bb1d0f5578eb2eda3?pvs=21),Nero,2XL,Pelle,Uomo,Corsico Milano,No,19,270,187.1,82.9,1.4968,
Pelle Barone,"September 21, 2024",Pelle Chiodo Donna (https://www.notion.so/Pelle-Chiodo-Donna-115f56f3c32b80a49a9dc3a864003fe1?pvs=21),Nero,S,Pelle,Uomo,Corsico Milano,No,-11,270,167.1,102.9,1.591428571429,
Parka,"September 21, 2024",Parka Invernale (https://www.notion.so/Parka-Invernale-116f56f3c32b8043a303c837a7dc2b01?pvs=21),Verde,L,Parka,Donna,Corsico Milano,No,,60,28.8,31.2,1.92,
K-Way pesanti,"September 21, 2024",K-Way Peso Uomo (https://www.notion.so/K-Way-Peso-Uomo-48b979b98fe84496b9787c28cffe5293?pvs=21),Verde,L,K-Way,Uomo,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
K-Way pesanti,"September 21, 2024",K-Way Peso Corto (https://www.notion.so/K-Way-Peso-Corto-9bdc95352b494f0d92258347c11853d1?pvs=21),Blu,M,K-Way,Donna,Corsico Milano,No,,55,30.65,24.35,1.702777777778,
K-Way pesanti,"September 21, 2024",K-Way Peso Lungo (https://www.notion.so/K-Way-Peso-Lungo-1cc1df5fab6a4ce6b6e1ab92b6cfdf89?pvs=21),Bianco,S,K-Way,Donna,Corsico Milano,No,,65,36.95,28.05,1.679545454545,
K-Way pesanti,"September 21, 2024",Neoprene Lungo IS (https://www.notion.so/Neoprene-Lungo-IS-115f56f3c32b80639e13f56076072178?pvs=21),Nero,2XL,K-Way,Donna,Corsico Milano,No,,85,51.55,33.45,1.6109375,
K-Way pesanti,"September 21, 2024",K-Way Peso Lungo (https://www.notion.so/K-Way-Peso-Lungo-1cc1df5fab6a4ce6b6e1ab92b6cfdf89?pvs=21),Bianco,S,K-Way,Donna,Corsico Milano,No,,65,36.95,28.05,1.679545454545,
